ISTITUZIONE;CONTRATTO;CATEGORIA;STIPENDIO;RIA;TREDICESIMA;STRAORDINARIO;INDENNITA_FISSE;ALTRE_ACCESSORIE
C7342;REFR;CD;29792,86;156,57;2844,57;0;11314;960,57
C7342;REFR;XA;25099;44,67;2095,33;174;2580,33;3129,67
C7941;REFR;CC;24668;0;2055,67;555;1321,67;1996,33
C7941;REFR;CB;22300,5;83,5;1865;0;1166;1960
C7941;REFR;CD;27469;0;2289;442,5;1477;2358,5
C2811;REFR;CC;25708;0;2142,5;250,5;1330;2184,25
C2811;REFR;CB;20166,5;0;1680,5;178;1153;1965
C2811;REFR;CD;28531,33;0;2935,33;277;10638,67;0
C5550;REFR;CC;24060,33;0;2005;443,33;1317;1436
C5550;REFR;CB;20456;0;1705;632;1154;600
C5550;REFR;CD;28651;0;2388;0;1484;0
C1563;REFR;FP;41065;124;5321;0;32810;531
C1563;REFR;CC;24014;0;1997,82;355,52;1314,77;1574,18
C1563;REFR;CB;20846,33;0;1737,33;626,67;1085;1045
C1563;REFR;CD;29938;0;2494,67;0;9577;651
C1563;REFR;XA;25884;0;2157;1750;2867;2399
C5734;REFR;CC;25121,59;51,45;2097,12;1330,6;1325,53;838,01
C5734;REFR;CB;21250,12;8,98;1769,64;500,52;1182,76;599,86
C5734;REFR;CD;27468,88;0;2289,07;2,63;8858,63;0
C5734;REFR;XA;25275,67;0;2106,33;251,67;2839,67;2871
C5734;REFR;XB;28651;0;2388;156;11035;0
C5675;REFR;FP;42301;0;5465;0;22287;16191
C5675;REFR;CA;20196;0;1683;0;1784;3468
C5675;REFR;CC;24628,65;3,74;2005,32;230,57;1671,87;3497,92
C5675;REFR;CB;21205,64;3,55;1768,45;334,36;1159,55;4089,55
C5675;REFR;CD;29244,78;95,73;2432,87;228,79;7620,64;3616,05
C5675;REFR;XA;24326,6;0;2027,19;840,11;2805,64;6056,17
C5675;REFR;XB;29474;0;2453;191;15042;0
C2603;REFR;FP;41779;0;5613;0;27796;8913
C2603;REFR;CC;24952,83;0;2079,5;612,33;1323,17;2388,17
C2603;REFR;CB;21827,67;0;1899,13;277,88;1189,85;2262,36
C2603;REFR;CD;28881,07;0;3187,06;129,4;12553;2764,22
C2603;REFR;XA;26419;0;2202;360;2834;2659
C8025;REFR;CC;24345,31;0;2018,57;238,29;1318,53;1770,98
C8025;REFR;CB;22491;0;1874;0;1178;1802
C8025;REFR;CD;39114,33;197;1970;0;6930;3187
N12515;REFR;CC;24818,33;12;1867,88;0;1211,1;118,21
N12515;REFR;CB;22435;0;1870;0;1168;82
N12515;REFR;CD;29567,88;0;2856,94;0;6454,79;45,34
C2573;REFR;FP;41779;0;3523;0;29393;4844
C2573;REFR;CA;20199;183,5;1699;0;1784,5;1721
C2573;REFR;CC;24966,94;13,03;2085,75;88,19;1657,34;1226,69
C2573;REFR;CB;21501,22;2,29;1794,28;453,01;1189,18;1796,01
C2573;REFR;CD;29633,14;4,31;2488,16;273,66;4445,52;1333,3
C12415;REFR;CC;24822,65;0;2058,22;417,6;1322,46;2401,85
C12415;REFR;CB;21437;0;1786,67;342,33;1161,33;1778
C12415;REFR;CD;28394,75;23;2368;461,75;6817;1607,75
C12415;REFR;XA;24961;0;2080,5;2087,5;2854;1342,5
UC10020;REFR;CC;24111,85;0;2093,35;40,76;1404,17;437,01
UC10020;REFR;CD;29374,45;0;2834,57;4,05;7956,45;370,19
C5768;REFR;CC;24590,48;0;2060,69;209,1;1314,34;0
C5768;REFR;CB;21301;0;1775,5;517,5;1160,5;32,5
C5768;REFR;CD;27469;0;3085;159;10925;0
C5768;REFR;XA;24548;0;2046;284;2803;0
CS10381;REFR;CC;25395,78;14,56;2110,44;31;2111,11;1056,28
CS10381;REFR;CB;22616,5;242;1905;0;1169,5;940,5
CS10381;REFR;CD;28280,1;26,8;2591,4;10,72;5263,05;772,67
CS10333;REFR;CC;25668,24;47,02;2145,44;188,21;1971,66;1284,23
CS10333;REFR;CD;27967,68;0;2324,92;252,24;4865,5;798,35
UC12528;REFR;CC;19115,41;0;1584,45;0;1046,18;756,95
UC12528;REFR;CD;27971,17;0;2794,76;0;8526,62;861,1
UC12528;REFR;XA;22494,21;0;1869,27;95,43;2584,76;3189,59
UC12528;REFR;XB;27469;0;2289;55;2988;2188
C12893;REFR;CC;24870,22;32,62;2133,49;233,02;1825,53;2489,02
C12893;REFR;CB;21556,14;0;1798,43;1107,14;1185,57;2173,71
C12893;REFR;CD;29001,1;0;2838,21;1470,62;9394,76;1359,31
C12893;REFR;XA;24060,33;0;2005;118;2647;4526
N14358;REFR;CC;24586,98;0;2056,31;244,61;1431,35;1938,62
N14358;REFR;CB;22024,76;24,34;1834,76;0;1197,32;1335,12
N14358;REFR;CD;28626,47;10,04;2712,2;227,68;5947,25;1988,47
N14358;REFR;XA;24060,13;0;1983,48;190,71;2441,81;1468,13
N14358;REFR;XC;31172;0;3598;494;17815;0
N14357;REFR;CC;24130,13;0;1980,53;458,32;1317,09;240,16
