ISTITUZIONE;CONTRATTO;CATEGORIA;QUALIFICA;CAUSALE_CESSAZIONE;UOMINI;DONNE
C3728;RALN;DI;0D0164;C18;1;0
C3333;RALN;DI;0D0164;C21;2;1
R9190;RALN;DI;0D0164;C01;2;0
C7902;RALN;DI;0D0164;C28;0;1
C5073;RALN;DI;0D0164;C28;1;0
C7902;RALN;DI;0D0164;C18;1;0
R9193;RALN;DI;0D0164;C01;1;2
R9813;RALN;DI;0D0164;C28;0;1
P9034;RALN;DI;0D0164;C99;1;0
C7400;RALN;DI;0D0164;C18;0;1
C6630;RALN;DI;0D0164;C03;1;0
P9079;RALN;DI;0D0164;C01;1;0
R9194;RALN;DI;0D0164;C03;1;0
R9813;RALN;DI;0D0164;C99;4;1
C6662;RALN;DI;0D0164;C03;1;0
C7120;RALN;DI;0D0164;C19;0;1
C5929;RALN;DI;0D0164;C28;1;0
PU9821;SSNA;MD;SD0E34;C99;1;0
U9430;SSNA;MD;SD0E34;C03;0;1
U10520;SSNA;MD;SD0E34;C03;2;0
U12366;SSNA;MD;SD0E34;C03;7;4
U11804;SSNA;MD;SD0E34;C99;2;0
U12368;SSNA;MD;SD0E34;C03;1;1
U14265;SSNA;MD;SD0E34;C03;1;2
U12385;SSNA;MD;SD0E34;C01;0;1
U10743;SSNA;MD;SD0E34;C28;2;0
U9549;SSNA;MD;SD0E34;C99;5;3
AP10081;SSNA;MD;SD0E34;C01;1;0
U12385;SSNA;MD;SD0E34;C03;1;0
U9473;SSNA;MD;SD0E34;C01;0;1
U14498;SSNA;MD;SD0E34;C01;1;1
U12351;SSNA;MD;SD0E34;C03;2;2
U12351;SSNA;MD;SD0E34;C01;13;3
U12351;SSNA;MD;SD0E34;C21;2;0
U9591;SSNA;MD;SD0E34;C03;0;1
U14260;SSNA;MD;SD0E34;C18;0;1
U9460;SSNA;MD;SD0E34;C99;0;1
J8638;SSNA;MD;SD0E34;C99;1;2
J8634;SSNA;MD;SD0E34;C03;1;0
U9444;SSNA;MD;SD0E34;C99;1;0
U9444;SSNA;MD;SD0E34;C03;2;2
U11804;SSNA;MD;SD0E34;C01;3;2
U12356;SSNA;MD;SD0E34;C99;2;1
U11804;SSNA;MD;SD0E34;C03;0;1
J8634;SSNA;MD;SD0E34;C01;1;0
U12366;SSNA;MD;SD0E34;C01;3;1
U9560;SSNA;MD;SD0E34;C03;0;1
U12356;SSNA;MD;SD0E34;C03;2;0
U9577;SSNA;MD;SD0E34;C01;0;1
U10733;SSNA;MD;SD0E34;C01;3;0
U10753;SSNA;MD;SD0E34;C03;1;0
